method,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_skeleton,pixel_recall_on_skeleton,pixel_f1_on_skeleton,pixel_iou_on_skeleton,pixel_accuracy_on_skeleton,raw_stroke_pixels,skeleton_stroke_pixels,junction_nodes,traced_paths,internal_skeletonization_applied
baseline_on_shared_skeleton,0,3,3,0,0.985252808988764,0.9722222222222221,0.9887640449438202,1.0,1.0,0,0,0.9999999999890109,0.9999999999890109,0.999999999489011,0.9999999999890109,0.9999999999999389,156,91,6,3,
skeleton_junction_fix_on_shared_skeleton,0,3,3,0,0.985252808988764,0.9722222222222221,0.9887640449438202,1.0,1.0,0,0,0.9999999999890109,0.9999999999890109,0.999999999489011,0.9999999999890109,0.9999999999999389,156,91,6,3,False
baseline_on_shared_skeleton,1,3,3,0,0.9644033605859623,0.9346420613250479,0.9690721649484536,1.0,1.0,0,0,0.9999999999891304,0.9999999999891304,0.9999999994891304,0.9999999999891304,0.9999999999999389,295,92,6,3,
skeleton_junction_fix_on_shared_skeleton,1,3,3,0,0.9644033605859623,0.9346420613250479,0.9690721649484536,1.0,1.0,0,0,0.9999999999891304,0.9999999999891304,0.9999999994891304,0.9999999999891304,0.9999999999999389,295,92,6,3,False
baseline_on_shared_skeleton,2,1,1,0,0.8611111111111112,0.7407407407407408,0.8888888888888888,1.0,1.0,0,0,0.9999999999166667,0.9999999999166667,0.9999999994166666,0.9999999999166667,0.9999999999999389,40,12,2,1,
skeleton_junction_fix_on_shared_skeleton,2,1,1,0,0.8611111111111112,0.7407407407407408,0.8888888888888888,1.0,1.0,0,0,0.9999999999166667,0.9999999999166667,0.9999999994166666,0.9999999999166667,0.9999999999999389,40,12,2,1,False
baseline_on_shared_skeleton,3,5,4,1,0.7733736287700306,0.6760245937637243,0.9458128078817734,0.8,0.8,1,1,0.9589743589694412,0.9589743589694412,0.9589743584694411,0.9211822660053144,0.999023437499939,471,195,9,6,
skeleton_junction_fix_on_shared_skeleton,3,5,4,1,0.7733736287700306,0.6760245937637243,0.9458128078817734,0.8,0.8,1,1,0.9589743589694412,0.9589743589694412,0.9589743584694411,0.9211822660053144,0.999023437499939,471,195,9,6,False
baseline_on_shared_skeleton,4,4,4,0,0.9550503910650231,0.9112789259848084,0.9748743718592965,1.0,1.0,0,0,0.9999999999949496,0.9999999999949496,0.9999999994949496,0.9999999999949496,0.9999999999999389,477,198,8,4,
skeleton_junction_fix_on_shared_skeleton,4,4,4,0,0.9550503910650231,0.9112789259848084,0.9748743718592965,1.0,1.0,0,0,0.9999999999949496,0.9999999999949496,0.9999999994949496,0.9999999999949496,0.9999999999999389,477,198,8,4,False
baseline_on_shared_skeleton,5,5,5,0,0.8972359020160744,0.7868300196748472,0.9658119658119658,1.0,1.0,0,0,0.8676470588192763,0.8388625592377306,0.8530120476888025,0.7436974789884719,0.9962768554686892,558,211,17,13,
skeleton_junction_fix_on_shared_skeleton,5,5,5,0,0.8972359020160744,0.7868300196748472,0.9658119658119658,1.0,1.0,0,0,0.8676470588192763,0.8388625592377306,0.8530120476888025,0.7436974789884719,0.9962768554686892,558,211,17,13,False
baseline_on_shared_skeleton,6,4,4,0,0.9754508404990839,0.9549025769956003,0.9787234042553191,1.0,1.0,0,0,0.9999999999946809,0.9999999999946809,0.9999999994946809,0.9999999999946809,0.9999999999999389,446,188,8,4,
skeleton_junction_fix_on_shared_skeleton,6,4,4,0,0.9754508404990839,0.9549025769956003,0.9787234042553191,1.0,1.0,0,0,0.9999999999946809,0.9999999999946809,0.9999999994946809,0.9999999999946809,0.9999999999999389,446,188,8,4,False
baseline_on_shared_skeleton,7,1,1,0,0.9739583333333334,0.951388888888889,0.9791666666666666,1.0,1.0,0,0,0.9999999999791668,0.9999999999791668,0.9999999994791668,0.9999999999791668,0.9999999999999389,153,48,2,1,
skeleton_junction_fix_on_shared_skeleton,7,1,1,0,0.9739583333333334,0.951388888888889,0.9791666666666666,1.0,1.0,0,0,0.9999999999791668,0.9999999999791668,0.9999999994791668,0.9999999999791668,0.9999999999999389,153,48,2,1,False
baseline_on_shared_skeleton,8,3,3,0,0.9773774509803922,0.9580610021786493,0.98125,1.0,1.0,1,1,0.9999999999937108,0.9999999999937108,0.9999999994937108,0.9999999999937108,0.9999999999999389,410,159,7,5,
skeleton_junction_fix_on_shared_skeleton,8,3,3,0,0.9773774509803922,0.9580610021786493,0.98125,1.0,1.0,1,1,0.9999999999937108,0.9999999999937108,0.9999999994937108,0.9999999999937108,0.9999999999999389,410,159,7,5,False
baseline_on_shared_skeleton,9,2,2,0,0.9906615985206492,0.9820788530465949,0.9936305732484076,1.0,1.0,0,0,0.9664429530136481,0.9664429530136481,0.9664429525136481,0.9350649350588632,0.9993896484374389,516,149,4,2,
skeleton_junction_fix_on_shared_skeleton,9,2,2,0,0.9906615985206492,0.9820788530465949,0.9936305732484076,1.0,1.0,0,0,0.9664429530136481,0.9664429530136481,0.9664429525136481,0.9350649350588632,0.9993896484374389,516,149,4,2,False
baseline_on_shared_skeleton,10,3,3,0,0.9821212121212121,0.967003367003367,0.9848484848484849,1.0,1.0,0,0,0.9999999999961977,0.9999999999961977,0.9999999994961977,0.9999999999961977,0.9999999999999389,653,263,6,3,
skeleton_junction_fix_on_shared_skeleton,10,3,3,0,0.9821212121212121,0.967003367003367,0.9848484848484849,1.0,1.0,0,0,0.9999999999961977,0.9999999999961977,0.9999999994961977,0.9999999999961977,0.9999999999999389,653,263,6,3,False
baseline_on_shared_skeleton,11,5,12,7,0.5496352842637825,0.69946386900868,0.9660493827160493,0.0,0.41666666666666663,3,12,0.8790849673173886,0.8733766233737877,0.8762214978684867,0.7797101449252762,0.9953613281249393,866,308,15,14,
skeleton_junction_fix_on_shared_skeleton,11,5,12,7,0.5496352842637825,0.69946386900868,0.9660493827160493,0.0,0.41666666666666663,3,12,0.8790849673173886,0.8733766233737877,0.8762214978684867,0.7797101449252762,0.9953613281249393,866,308,15,14,False
baseline_on_shared_skeleton,12,4,4,0,0.9596284460077785,0.9244698327359618,0.9680851063829787,1.0,1.0,0,0,0.9999999999946237,0.9999999999946237,0.9999999994946238,0.9999999999946237,0.9999999999999389,592,186,8,4,
skeleton_junction_fix_on_shared_skeleton,12,4,4,0,0.9596284460077785,0.9244698327359618,0.9680851063829787,1.0,1.0,0,0,0.9999999999946237,0.9999999999946237,0.9999999994946238,0.9999999999946237,0.9999999999999389,592,186,8,4,False
baseline_on_shared_skeleton,13,5,5,0,0.9213479420007614,0.8854586127460028,0.8644578313253012,1.0,1.0,0,0,0.9999999999965036,0.8313953488347925,0.9079365074378635,0.8313953488347925,0.9964599609374392,991,344,10,5,
skeleton_junction_fix_on_shared_skeleton,13,5,5,0,0.9213479420007614,0.8854586127460028,0.8644578313253012,1.0,1.0,0,0,0.9999999999965036,0.8313953488347925,0.9079365074378635,0.8313953488347925,0.9964599609374392,991,344,10,5,False
baseline_on_shared_skeleton,14,5,5,0,0.7871742732712529,0.8115436705073614,0.9432314410480349,0.5333333333333333,1.0,3,2,0.5879120879088576,0.5752688172012083,0.5815217386273334,0.40996168582218406,0.9906005859374395,565,186,12,10,
skeleton_junction_fix_on_shared_skeleton,14,5,5,0,0.7871742732712529,0.8115436705073614,0.9432314410480349,0.5333333333333333,1.0,3,2,0.5879120879088576,0.5752688172012083,0.5815217386273334,0.40996168582218406,0.9906005859374395,565,186,12,10,False
baseline_on_shared_skeleton,15,3,3,0,0.9752855626326964,0.9507407407407408,0.9872611464968153,1.0,1.0,0,0,0.999999999993671,0.999999999993671,0.999999999493671,0.999999999993671,0.9999999999999389,366,158,6,3,
skeleton_junction_fix_on_shared_skeleton,15,3,3,0,0.9752855626326964,0.9507407407407408,0.9872611464968153,1.0,1.0,0,0,0.999999999993671,0.999999999993671,0.999999999493671,0.999999999993671,0.9999999999999389,366,158,6,3,False
baseline_on_shared_skeleton,16,5,3,2,0.7541470588235295,0.6422222222222222,0.7757352941176471,1.0,0.6,0,0,0.9095744680802683,0.6653696498028585,0.7685393253512638,0.6240875912385982,0.9937133789061893,352,257,8,4,
skeleton_junction_fix_on_shared_skeleton,16,5,3,2,0.7541470588235295,0.6422222222222222,0.7757352941176471,1.0,0.6,0,0,0.9095744680802683,0.6653696498028585,0.7685393253512638,0.6240875912385982,0.9937133789061893,352,257,8,4,False
baseline_on_shared_skeleton,17,5,5,0,0.9922435136396985,0.9858284977433914,0.993103448275862,1.0,1.0,1,1,0.9999999999965754,0.9999999999965754,0.9999999994965754,0.9999999999965754,0.9999999999999389,622,292,11,7,
skeleton_junction_fix_on_shared_skeleton,17,5,5,0,0.9922435136396985,0.9858284977433914,0.993103448275862,1.0,1.0,1,1,0.9999999999965754,0.9999999999965754,0.9999999994965754,0.9999999999965754,0.9999999999999389,622,292,11,7,False
baseline_on_shared_skeleton,18,1,1,0,0.9662162162162162,0.9369369369369369,0.972972972972973,1.0,1.0,0,0,0.9999999999729731,0.9999999999729731,0.9999999994729731,0.9999999999729731,0.9999999999999389,120,37,2,1,
skeleton_junction_fix_on_shared_skeleton,18,1,1,0,0.9662162162162162,0.9369369369369369,0.972972972972973,1.0,1.0,0,0,0.9999999999729731,0.9999999999729731,0.9999999994729731,0.9999999999729731,0.9999999999999389,120,37,2,1,False
baseline_on_shared_skeleton,19,4,4,0,0.8504738851895358,0.9530625344637441,0.9829787234042553,0.5,1.0,2,1,0.9999999999957082,0.9999999999957082,0.9999999994957083,0.9999999999957082,0.9999999999999389,559,233,9,7,
skeleton_junction_fix_on_shared_skeleton,19,4,4,0,0.8504738851895358,0.9530625344637441,0.9829787234042553,0.5,1.0,2,1,0.9999999999957082,0.9999999999957082,0.9999999994957083,0.9999999999957082,0.9999999999999389,559,233,9,7,False
baseline_on_shared_skeleton,20,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999444444,0.9999999999444444,0.9999999994444444,0.9999999999444444,0.9999999999999389,18,18,2,1,
skeleton_junction_fix_on_shared_skeleton,20,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999444444,0.9999999999444444,0.9999999994444444,0.9999999999444444,0.9999999999999389,18,18,2,1,False
baseline_on_shared_skeleton,21,5,8,3,0.672007126616005,0.7839301825369144,0.9622641509433962,0.2571428571428572,0.625,2,7,0.8715277777747517,0.8422818791918044,0.8566552895996108,0.749253731341047,0.9948730468749393,926,298,20,17,
skeleton_junction_fix_on_shared_skeleton,21,5,8,3,0.672007126616005,0.7839301825369144,0.9622641509433962,0.2571428571428572,0.625,2,7,0.8715277777747517,0.8422818791918044,0.8566552895996108,0.749253731341047,0.9948730468749393,926,298,20,17,False
baseline_on_shared_skeleton,22,3,3,0,0.9732066320775997,0.9528911948266786,0.972027972027972,1.0,1.0,1,1,0.9663865546137278,0.9663865546137278,0.9663865541137278,0.9349593495858947,0.9995117187499389,392,119,7,5,
skeleton_junction_fix_on_shared_skeleton,22,3,3,0,0.9732066320775997,0.9528911948266786,0.972027972027972,1.0,1.0,1,1,0.9663865546137278,0.9663865546137278,0.9663865541137278,0.9349593495858947,0.9995117187499389,392,119,7,5,False
baseline_on_shared_skeleton,23,3,3,0,0.9356475481872076,0.8703012714206745,0.9700598802395209,1.0,1.0,1,1,0.9999999999939025,0.9999999999939025,0.9999999994939026,0.9999999999939025,0.9999999999999389,511,164,7,5,
skeleton_junction_fix_on_shared_skeleton,23,3,3,0,0.9356475481872076,0.8703012714206745,0.9700598802395209,1.0,1.0,1,1,0.9999999999939025,0.9999999999939025,0.9999999994939026,0.9999999999939025,0.9999999999999389,511,164,7,5,False
baseline_on_shared_skeleton,24,2,2,0,0.9605476360889101,0.9211289602855868,0.9801980198019802,1.0,1.0,0,0,0.9999999999900989,0.9999999999900989,0.999999999490099,0.9999999999900989,0.9999999999999389,321,101,4,2,
skeleton_junction_fix_on_shared_skeleton,24,2,2,0,0.9605476360889101,0.9211289602855868,0.9801980198019802,1.0,1.0,0,0,0.9999999999900989,0.9999999999900989,0.999999999490099,0.9999999999900989,0.9999999999999389,321,101,4,2,False
baseline_on_shared_skeleton,25,3,3,0,0.9569611414693382,0.9189300411522634,0.9672131147540983,1.0,1.0,0,0,0.9999999999917355,0.9999999999917355,0.9999999994917355,0.9999999999917355,0.9999999999999389,389,121,6,3,
skeleton_junction_fix_on_shared_skeleton,25,3,3,0,0.9569611414693382,0.9189300411522634,0.9672131147540983,1.0,1.0,0,0,0.9999999999917355,0.9999999999917355,0.9999999994917355,0.9999999999917355,0.9999999999999389,389,121,6,3,False
baseline_on_shared_skeleton,26,5,5,0,0.9344749555047039,0.8741418764302061,0.9555555555555556,1.0,1.0,0,0,0.9999999999885058,0.9999999999885058,0.9999999994885058,0.9999999999885058,0.9999999999999389,187,87,10,5,
skeleton_junction_fix_on_shared_skeleton,26,5,5,0,0.9344749555047039,0.8741418764302061,0.9555555555555556,1.0,1.0,0,0,0.9999999999885058,0.9999999999885058,0.9999999994885058,0.9999999999885058,0.9999999999999389,187,87,10,5,False
baseline_on_shared_skeleton,27,4,4,0,0.6625462890278798,0.8210599602159705,0.9653465346534653,0.0,1.0,1,0,0.6463414634106931,0.5988700564937918,0.6217008792624763,0.4510638297853146,0.9921264648436894,463,177,11,8,
skeleton_junction_fix_on_shared_skeleton,27,4,4,0,0.6625462890278798,0.8210599602159705,0.9653465346534653,0.0,1.0,1,0,0.6463414634106931,0.5988700564937918,0.6217008792624763,0.4510638297853146,0.9921264648436894,463,177,11,8,False
baseline_on_shared_skeleton,28,3,2,1,0.752483660130719,0.6326797385620915,0.7555555555555555,1.0,0.6666666666666667,0,0,0.9999999999903846,0.9999999999903846,0.9999999994903845,0.9999999999903846,0.9999999999999389,330,104,4,2,
